year,month,day,day_of_week,date,total_cyclist_injured,total_cyclist_killed,total_motorist_injured,total_motorist_killed,total_pedestrians_injured,total_pedestrians_killed,total_persons_injured,total_persons_killed,total_vehicles_involved,total_collisions,aggressive_driving_road_rage,animals_action,backing_unsafely,driver_inattention_distraction,driver_inexperience,driver_unwell_medical,environmental_defect_failure,failure_to_keep_right,failure_to_yield_right_of_way,following_too_closely,oversized_vehicle,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,physical_disability,reaction_to_uninvolved_vehicle,traffic_control_disregarded,turning_improperly,unsafe_speed,vehicle_failure,visual_distraction_obstruction,temp_c,dewp_c,slp_c,visib_c,wdsp_c,mxpsd_c,gust_c,max_c,min_c,prcp_c,sndp_c,fog,avg_vol,min_vol,max_vol
2012,7,1,1,2012-07-01,9,0,127,0,30,0,166,0,1075,538,1,0,22,74,8,62,2,2,16,1,4,0,0,8,2,9,13,1,21,7,83.6,63.0,1008.9,9.7,4.1,9.9,18.1,93.0,66.0,0.0,,0,2797.0,1545,3514
2012,7,2,2,2012-07-02,27,0,118,1,30,0,175,1,1121,564,0,0,17,83,15,57,3,1,25,1,2,0,0,8,0,3,12,1,31,12,80.3,54.1,1011.6,10.0,3.8,15.0,,88.0,66.9,0.0,,0,2885.0,968,3975
2012,7,3,3,2012-07-03,16,0,158,1,36,0,210,1,1316,664,1,0,23,77,6,82,0,0,25,1,5,1,0,7,3,12,19,0,16,16,79.8,56.7,1012.8,10.0,2.9,12.0,,88.0,63.0,0.0,,0,2782.0,901,3920
2012,7,4,4,2012-07-04,9,0,127,0,20,0,156,0,866,432,5,1,17,37,13,54,5,0,17,0,1,2,0,11,0,5,10,0,14,13,81.8,65.6,1009.1,9.2,3.6,11.1,,91.0,68.0,0.06,,0,602.0,148,2599
2012,7,5,5,2012-07-05,14,0,96,0,28,1,138,1,1209,591,1,0,18,67,10,68,0,1,20,0,6,0,0,8,3,8,16,0,15,7,86.7,64.3,1007.4,9.4,3.8,15.0,,93.9,70.0,,,0,450.0,123,789
2012,7,6,6,2012-07-06,14,0,131,0,34,0,179,0,1286,638,4,0,18,58,9,65,2,1,26,0,5,0,1,9,1,6,14,0,16,17,81.9,62.3,1011.7,10.0,3.1,9.9,,91.0,66.9,0.0,,0,429.0,84,721
2012,7,7,7,2012-07-07,13,0,125,0,27,0,165,0,958,490,0,0,15,55,8,49,0,2,18,1,1,0,0,6,0,6,12,1,16,9,84.9,65.9,1010.1,9.5,3.1,14.0,17.1,95.0,70.0,0.0,,0,344.0,100,553
2012,7,8,1,2012-07-08,11,0,110,0,16,1,137,1,929,464,4,0,7,50,5,57,12,3,23,0,1,0,0,5,0,5,12,1,8,14,80.6,65.5,1010.1,8.5,3.1,8.0,15.9,90.0,70.0,0.59,,0,322.0,101,517
2012,7,9,2,2012-07-09,17,0,109,0,24,0,150,0,1062,533,2,1,16,61,12,54,1,1,24,1,2,2,0,4,1,7,17,1,17,15,78.5,56.8,1012.7,10.0,3.5,9.9,,84.0,68.0,0.09,,0,477.0,61,861
2012,7,10,3,2012-07-10,13,0,94,0,42,1,149,1,1035,524,0,0,17,65,7,50,1,0,15,1,4,0,0,4,0,8,7,0,14,15,76.5,56.3,1016.0,10.0,3.4,9.9,,86.0,61.0,0.0,,0,522.0,95,844
